メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,赤,緑,黄
豆腐とわかめの味噌汁,24,1.3,0.5,3.2,1.7,0,0,0.3
豚汁,72,4.3,2.6,7.2,1.4,0.4,0.3,0.2
