メニュー名,カロリー,タンパク質,脂質,炭水化物,塩分,赤,緑,黄
わらびもち,95,1,0.5,22,0,0,0.2,1
チョコシュークリーム,102,2.4,7,7,0.1,0.3,0,0.6
シュークリーム,84,2.4,5.3,6.1,0.1,0.3,0,0.4
マンゴーヨーグルト,42,1.2,1.2,6.4,0,0.3,0.1,0.1
キャラメルナッツショート,123,1.6,8.7,9.7,0.1,0.8,0.2,0.4
生チョコケーキ,98,1.5,5.9,9.6,0,0.7,0,0.4
ミルクティーショート,93,1.3,5.7,8.9,0,0.8,0,0.4
抹茶きなこケーキ,134,2,8.8,11.9,0.1,0.9,0,0.5
アップルパイ,283,2,17.4,29,0.6,0,0.2,3
カスタードパイ,298,3,19.2,27.8,0.5,0.3,0,3.2
ポテチュロ,159,2.2,7.1,21.3,0.3,0,0.5,1.1
